acter1,acter1_percentage,acter2,acter2_percentage,lines_matched
Student_015,6,Student_046,6,23
Student_013,9,Student_037,10,33
Student_002,8,Student_043,8,27
Student_013,9,Student_024,9,21
Student_025,7,Student_028,8,18
Student_020,7,Student_034,2,28
Student_024,9,Student_037,10,28
Student_023,9,Student_042,8,16
Student_013,9,Student_042,8,15
Student_015,6,Student_032,6,13
Student_038,10,Student_044,6,27
Student_042,8,Student_046,6,23
Student_020,7,Student_048,6,28
Student_013,8,Student_016,7,15
Student_008,10,Student_047,5,24
Student_003,5,Student_007,3,23
Student_031,4,Student_050,6,26
Student_016,7,Student_025,6,21
Student_023,8,Student_048,6,28
Student_002,7,Student_048,6,27
Student_036,4,Student_044,6,36
Student_024,8,Student_025,6,21
Student_046,6,Student_047,4,22
Student_024,8,Student_046,6,22
Student_023,8,Student_049,7,16
Student_007,3,Student_022,3,19
Student_002,7,Student_047,4,19
Student_016,6,Student_044,6,19
Student_008,9,Student_028,7,17
Student_031,4,Student_033,2,19
Student_006,3,Student_044,6,30
Student_046,5,Student_048,6,26
Student_022,3,Student_044,5,25
Student_020,6,Student_022,3,20
Student_021,4,Student_044,5,25
Student_009,4,Student_028,7,14
Student_009,4,Student_011,4,13
Student_001,4,Student_034,2,18
Student_044,5,Student_047,4,18
Student_034,2,Student_038,9,26
Student_029,6,Student_045,7,19
Student_020,6,Student_042,7,17
Student_016,6,Student_023,7,12
Student_028,7,Student_037,8,14
Student_020,6,Student_045,7,19
Student_002,6,Student_028,7,22
Student_010,3,Student_041,3,15
Student_029,6,Student_037,8,17
Student_011,3,Student_031,3,18
Student_024,7,Student_042,7,15
Student_013,7,Student_029,5,21
Student_006,3,Student_031,3,25
Student_022,3,Student_033,2,23
Student_016,5,Student_045,6,19
Student_013,7,Student_038,8,32
Student_013,7,Student_022,3,15
Student_010,3,Student_015,4,12
Student_008,8,Student_029,5,17
Student_007,2,Student_043,6,27
Student_029,5,Student_047,4,18
Student_018,2,Student_049,6,12
Student_015,4,Student_036,3,23
Student_008,8,Student_018,2,10
Student_036,3,Student_042,6,25
Student_034,1,Student_049,6,19
Student_031,3,Student_048,5,15
Student_023,7,Student_038,8,19
Student_009,3,Student_042,6,17
Student_002,6,Student_034,1,15
Student_009,3,Student_048,5,23
Student_001,4,Student_035,4,20
Student_037,7,Student_045,6,18
Student_035,4,Student_046,4,17
Student_025,5,Student_030,4,16
Student_019,4,Student_034,1,20
Student_011,3,Student_033,2,20
Student_009,3,Student_032,4,15
Student_001,4,Student_041,2,13
Student_030,4,Student_041,2,14
Student_008,8,Student_027,5,9
Student_002,6,Student_031,3,15
Student_001,4,Student_030,4,20
Student_045,6,Student_046,4,18
Student_013,6,Student_048,5,21
Student_006,3,Student_033,2,21
Student_016,5,Student_024,6,16
Student_037,7,Student_044,4,16
Student_008,7,Student_044,4,18
Student_035,3,Student_045,6,15
Student_023,6,Student_031,3,12
Student_011,3,Student_028,6,11
Student_009,3,Student_044,4,16
Student_009,3,Student_027,5,8
Student_008,7,Student_046,4,22
Student_045,6,Student_048,4,18
Student_043,5,Student_045,6,20
Student_043,5,Student_044,4,25
Student_031,3,Student_037,7,13
Student_024,6,Student_049,5,15
Student_024,6,Student_038,7,19
Student_023,6,Student_046,4,22
Student_015,4,Student_021,3,17
Student_007,2,Student_031,3,11
Student_030,4,Student_046,4,16
Student_016,5,Student_050,4,14
Student_044,4,Student_048,4,19
Student_024,6,Student_031,3,15
Student_037,7,Student_046,4,30
Student_023,6,Student_028,5,23
Student_022,2,Student_045,5,12
Student_020,5,Student_036,3,18
Student_007,2,Student_024,6,15
Student_032,4,Student_048,4,13
Student_029,5,Student_046,4,19
Student_025,4,Student_042,5,19
Student_008,7,Student_013,5,15
Student_034,1,Student_043,5,26
Student_016,4,Student_042,5,13
Student_013,5,Student_034,1,19
Student_003,3,Student_046,4,20
Student_035,3,Student_036,3,21
Student_019,3,Student_038,6,14
Student_008,7,Student_025,4,15
Student_006,2,Student_034,1,24
Student_037,6,Student_038,6,20
Student_007,2,Student_008,6,13
Student_034,1,Student_044,4,15
Student_009,3,Student_029,4,16
Student_030,3,Student_032,3,10
Student_028,5,Student_038,6,24
Student_008,6,Student_045,5,16
Student_007,2,Student_045,5,15
Student_007,2,Student_016,4,15
Student_001,3,Student_007,2,9
Student_022,2,Student_036,3,17
Student_020,4,Student_021,3,15
Student_019,3,Student_040,4,12
Student_006,2,Student_022,2,18
Student_001,3,Student_006,2,18
Student_036,2,Student_043,4,15
Student_028,5,Student_049,4,17
Student_026,11,Student_035,3,8
